"03 ,Attempts/threats to murder, assaults, harassments and related offences","Abbeyfeale, Limerick Division",22,19,19,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Abbeyleix, Laois/Offaly Division",12,12,13,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Adare, Limerick Division",3,1,4,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aglish, Waterford Division",2,3,3,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ahascragh, Galway Division",3,4,10,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ailt an Chorraiin, Donegal Division",3,5,4,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Bun Beag, Donegal Division",9,12,11,11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Charraig, Donegal Division",6,2,2,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Cheathru Rua, Galway Division",11,8,11,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Clochain Liath, Donegal Division",18,23,20,8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Coirean, Kerry Division",2,5,9,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Craoslach, Donegal Division",3,2,1,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Fail Carrach, Donegal Division",12,7,5,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Maim, Galway Division",0,3,6,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Rinn, Waterford Division",2,0,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Spideal, Galway Division",8,3,1,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Anglesea Street, Cork City Division",234,205,217,99
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Annascaul, Kerry Division",1,0,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aran More, Galway Division",47,30,33,14
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ard an Raitha, Donegal Division",3,3,5,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardee, Louth Division",27,30,26,23
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardfert, Kerry Division",7,6,10,12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardfinnan, Tipperary Division",3,3,3,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardmore, Waterford Division",1,6,3,1
