Name','Type','Region','Country','Lat','Long','Elev Ft.','Pop Est
Achadh an Iuir,city,Cavan,Ireland,53.8338889,-7.0755556,380,2428
Achadh an Iúir,city,Cavan,Ireland,53.8338889,-7.0755556,380,2428
Aghadreenagh,city,Cavan,Ireland,54.0783333,-7.3094444,249,2498
Aghalackan,city,Cavan,Ireland,53.9727778,-7.3002778,501,2425
Altateskin,city,Cavan,Ireland,54.1511111,-7.7847222,574,2282
An Blaic,city,Cavan,Ireland,54.2927778,-7.8752778,239,2645
Cavan,city,Cavan,Ireland,53.9908333,-7.3605556,370,2425
An Cabhán,city,Cavan,Ireland,53.9908333,-7.3605556,370,2425
An Cnoc Rua,city,Cavan,Ireland,54.1,-7.3166667,249,2733
An Muileann Iarainn,city,Cavan,Ireland,54.1947222,-7.7044444,246,2565
An Mullach,city,Cavan,Ireland,53.8130556,-6.9513889,416,3523
Ardlougher,city,Cavan,Ireland,54.0619444,-7.5755556,262,2387
Ardmoneen,city,Cavan,Ireland,54.1105556,-7.8236111,419,1845
Armhach,city,Cavan,Ireland,53.9166667,-7.5833333,242,2345
Ármhach,city,Cavan,Ireland,53.9166667,-7.5833333,242,2345
Arva,city,Cavan,Ireland,53.9166667,-7.5833333,242,2345
Arvagh,city,Cavan,Ireland,53.9166667,-7.5833333,242,2345
Aubawn,city,Cavan,Ireland,54.0222222,-7.5430556,423,2308
Baile Sheamais Dhuibh,city,Cavan,Ireland,53.8652778,-7.2027778,498,2448
Baile Shéamais Dhuibh,city,Cavan,Ireland,53.8652778,-7.2027778,498,2448
Baileborough,city,Cavan,Ireland,53.9166667,-6.9666667,698,2444
Bailieborough,city,Cavan,Ireland,53.9166667,-6.9666667,698,2444
Bakers Bridge,city,Cavan,Ireland,54.0616667,-7.42,232,2415
Ballinagh,city,Cavan,Ireland,53.9333333,-7.4166667,275,2426
Ballyconnell,city,Cavan,Ireland,54.1166667,-7.5833333,239,2493
Ballyhaise,city,Cavan,Ireland,54.05,-7.3166667,242,2498
Ballyhugh,city,Cavan,Ireland,54.085,-7.5327778,275,2502
Ballyjamesduff,city,Cavan,Ireland,53.8652778,-7.2027778,498,2448
Ballymagauran,city,Cavan,Ireland,54.0708333,-7.6797222,242,1880
Ballynahaia,city,Cavan,Ireland,54.0708333,-7.0405556,413,2815
Ballynallon Bridge,city,Cavan,Ireland,54.0502778,-7.2352778,249,2622
Bawnboy,city,Cavan,Ireland,54.1213889,-7.6755556,321,2230
Beal Atha Conaill,city,Cavan,Ireland,54.1166667,-7.5833333,239,2493
Béal Átha Conaill,city,Cavan,Ireland,54.1166667,-7.5833333,239,2493
Beal Atha hEis,city,Cavan,Ireland,54.05,-7.3166667,242,2498
Béal Átha hÉis,city,Cavan,Ireland,54.05,-7.3166667,242,2498
Beal Atha na nEach,city,Cavan,Ireland,53.9333333,-7.4166667,275,2426
Béal Átha na nEach,city,Cavan,Ireland,53.9333333,-7.4166667,275,2426
Beal Tairbirt,city,Cavan,Ireland,54.1,-7.45,246,2475
Béal Tairbirt,city,Cavan,Ireland,54.1,-7.45,246,2475
Beglieve,city,Cavan,Ireland,53.9425,-7.0355556,498,2426
Bellaheady Bridge,city,Cavan,Ireland,54.0897222,-7.6191667,242,2454
Bellahillan Bridge,city,Cavan,Ireland,53.9616667,-7.4555556,305,2425
Bellanacargy,city,Cavan,Ireland,54.0416667,-7.2491667,259,2622
Bellananagh,city,Cavan,Ireland,53.9333333,-7.4166667,275,2426
Bellville,city,Cavan,Ireland,53.9444444,-7.4122222,291,2426
Belturbet,city,Cavan,Ireland,54.1,-7.45,246,2475
Binbane,city,Cavan,Ireland,54.0130556,-7.12,557,2422
Binkeeragh,city,Cavan,Ireland,54.1830556,-7.7488889,452,2528
Blacklion,city,Cavan,Ireland,54.2927778,-7.8752778,239,2645
Blackrocks Cross,city,Cavan,Ireland,54.1638889,-7.7830556,646,2282
Boagh,city,Cavan,Ireland,54.045,-7.0125,324,2815
Bursan,city,Cavan,Ireland,54.1922222,-7.8580556,1092,2433
Butlers Bridge,city,Cavan,Ireland,54.0427778,-7.3763889,249,2416
Callaghs,city,Cavan,Ireland,54.0705556,-7.6002778,249,2287
Canningstown,city,Cavan,Ireland,53.9794444,-7.0461111,498,2425
Cargagh,city,Cavan,Ireland,53.9455556,-7.2552778,495,2426
