"03 ,Attempts/threats to murder, assaults, harassments and related offences","Abbeyfeale, Limerick Division",21,27,45,22,19,19,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Abbeyleix, Laois/Offaly Division",20,15,17,12,12,13,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Adare, Limerick Division",3,6,6,3,1,4,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aglish, Waterford Division",4,2,1,2,3,3,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ahascragh, Galway Division",2,0,3,3,4,10,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ailt an Chorraiin, Donegal Division",3,4,3,3,5,4,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Bun Beag, Donegal Division",35,18,22,9,12,11,11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Charraig, Donegal Division",3,1,2,6,2,2,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Cheathru Rua, Galway Division",7,15,18,11,8,11,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Clochain Liath, Donegal Division",11,22,12,18,23,20,8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Coirean, Kerry Division",6,1,8,2,5,9,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Craoslach, Donegal Division",3,1,8,3,2,1,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Fail Carrach, Donegal Division",16,12,10,12,7,5,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Maim, Galway Division",2,1,7,0,3,6,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Rinn, Waterford Division",0,5,0,2,0,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Spideal, Galway Division",6,2,3,8,3,1,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Anglesea Street, Cork City Division",226,252,259,234,205,217,99
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Annascaul, Kerry Division",1,0,2,1,0,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aran More, Galway Division",38,27,34,47,30,33,14
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ard an Raitha, Donegal Division",5,0,4,3,3,5,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardee, Louth Division",41,43,31,27,30,26,23
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardfert, Kerry Division",5,8,7,7,6,10,12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardfinnan, Tipperary Division",2,11,4,3,3,3,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardmore, Waterford Division",2,1,1,1,6,3,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardnacrusha, Limerick Division",30,28,21,15,13,17,8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardrahan, Galway Division",0,0,0,4,2,2,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Arklow, Wicklow Division",87,48,96,80,72,70,31
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Arles, Laois/Offaly Division",8,10,7,4,3,2,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Arva, Cavan/Monaghan Division",3,3,3,1,6,3,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ashbourne, Meath Division",70,38,61,65,59,56,37
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ashford, Wicklow Division",11,15,11,10,16,33,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Askeaton, Limerick Division",10,17,15,3,2,9,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athea, Limerick Division",7,7,1,1,3,0,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athenry, Galway Division",16,32,25,12,20,12,7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athleague, Roscommon/Longford Division",3,3,3,1,1,1,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athlone, Westmeath Division",140,126,113,105,109,99,47
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athy, Kildare Division",65,95,90,57,67,91,43
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aughrim, Wicklow Division",2,8,8,14,9,6,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Avoca, Wicklow Division",4,3,6,4,2,11,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baile AÅtha Bui, Meath Division",30,30,9,13,17,16,8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baile an FheirtÈaraigh, Kerry Division",0,0,2,1,0,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baile Bhuirne, Cork West Division",0,0,1,1,0,0,2
